territory,base,target30off,chosenPrice,discountPct,pricePointId
DMA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJETUEiLCJwIjoiMTAyMDMifQ
DNK,899.0,629.3,629.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJETksiLCJwIjoiMTAyNDQifQ
DOM,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJET00iLCJwIjoiMTAyMDMifQ
DZA,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJEWkEiLCJwIjoiMTAxNTgifQ
ECU,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJFQ1UiLCJwIjoiMTAyMDMifQ
EGY,1199.99,839.993,839.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJFR1kiLCJwIjoiMTAzOTMifQ
ESP,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJFU1AiLCJwIjoiMTAzNDUifQ
EST,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJFU1QiLCJwIjoiMTAzNDUifQ
FIN,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJGSU4iLCJwIjoiMTAzODcifQ
FJI,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJGSkkiLCJwIjoiMTAyMDMifQ
FRA,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJGUkEiLCJwIjoiMTAzODcifQ
FSM,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJGU00iLCJwIjoiMTAyMDMifQ
GAB,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHQUIiLCJwIjoiMTAxMjkifQ
GBR,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHQlIiLCJwIjoiMTAzNDUifQ
GEO,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHRU8iLCJwIjoiMTAyODcifQ
GHA,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHSEEiLCJwIjoiMTAxMzkifQ
GMB,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHTUIiLCJwIjoiMTAxMDYifQ
GNB,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHTkIiLCJwIjoiMTAxMDYifQ
GRC,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJHUkMiLCJwIjoiMTAzNDUifQ
